E,ST LOUIS CATHOLIC ACADEMY,4720 CARTER AVE,St. Louis,63115,MO,Private,38.68079,-90.23891,10/25/2018
E,ST LOUIS THE KING SCHOOL AT THE CATHEDRAL,4430 MARYLAND AVE,St. Louis,63108,MO,Private,38.64288,-90.2547,10/25/2018
E,MOST HOLY TRINITY CATHOLIC SCHOOL AND ACADEMY,1435 MALLINCKRODT ST,St. Louis,63107,MO,Private,38.66043,-90.19958,10/25/2018
E,ST JAMES THE GREATER SCHOOL,1360 TAMM AVE,St. Louis,63139,MO,Private,38.6253,-90.29298,10/25/2018
E,HAWTHORN MIDDLE,1901 N KINGSHIGHWAY BLVD,St. Louis,63113,MO,Charter,38.66602,-90.25999,10/25/2018
E,WORD OF LIFE LUTHERAN SCHOOL,6535 EICHELBERGER ST,St. Louis,63109,MO,Private,38.58297,-90.30535,10/25/2018
E,COMMUNITY ACCESS JOB TRAINING,4915 DONOVAN AVE,St. Louis,63109,MO,Public,38.58756,-90.30499,10/25/2018
E,EAGLE FOX PARK,2617 SHENANDOAH AVE.,St. Louis,63104,MO,Charter,38.60795,-90.2233,10/25/2018
E,CLAY ELEM.,3820 N 14TH ST,St. Louis,63107,MO,Public,38.66319,-90.19921,10/25/2018
E,COLUMBIA ELEM. COMM. ED. CTR.,3120 ST LOUIS AVE,St. Louis,63106,MO,Public,38.65329,-90.21873,10/25/2018
E,PRECLARUS MASTERY ACADEMY,620 North Grand Blvd.,St. Louis,63103,MO,Charter,38.63921,-90.23092,10/25/2018
E,FARRAGUT ELEM.,4025 SULLIVAN AVE,St. Louis,63107,MO,Public,38.66259,-90.22762,10/25/2018
E,LAFAYETTE PREPARATORY ACADEMY,1900 Lafayette Avenue,St. Louis,63104,MO,Charter,38.61348,-90.21373,10/25/2018
E,COLLEGIATE SCHOOL OF MED/BIO,1547 S. THERESA AV,St. Louis,63104,MO,Public,38.61946701,-90.23652061,10/25/2018
E,ST RAPHAEL THE ARCHANGEL SCHOOL,6000 JAMIESON AVE,St. Louis,63109,MO,Private,38.57726,-90.30318,10/25/2018
E,ST JOAN OF ARC CATHOLIC SCHOOL,5821 PERNOD AVE,St. Louis,63139,MO,Private,38.59684,-90.29163,10/25/2018
E,ST ROCH SCHOOL,6040 WATERMAN BLVD,St. Louis,63112,MO,Private,38.65015,-90.29574,10/25/2018
E,HICKEY ELEM.,3111 CORA AVE,St. Louis,63115,MO,Public,38.66938,-90.24553,10/25/2018
E,EAGLE TOWER GROVE SOUTH,3716 MORGANFORD RD.,St. Louis,63116,MO,Charter,38.59122,-90.26335,10/25/2018
E,BRYAN HILL ELEM.,4342 ALDINE,St. Louis,63113,MO,Public,38.6569,-90.2442,10/25/2018
E,ST CECILIA SCHOOL,906 EICHELBERGER ST,St. Louis,63111,MO,Private,38.56874,-90.2504,10/25/2018
E,St. Louis College Prep Middle,1224 Grattan,St. Louis,63104,MO,Charter,38.61711,-90.20833,10/25/2018
E,ST FRANCES CABRINI ACADEMY,3022 OREGON AVE,St. Louis,63118,MO,Private,38.60115,-90.22933,10/25/2018
E,NAHED CHAPMAN NEW AMERICAN ACA,1530 SOUTH GRAND,St. Louis,63104,MO,Public,38.61987,-90.23805,10/25/2018
E,DUNBAR AND BR.,1415 N GARRISON AVE,St. Louis,63106,MO,Public,38.64527,-90.22079,10/25/2018
E,OUR LADY OF SORROWS SCHOOL,5831 S KINGSHIGHWAY BLVD,St. Louis,63109,MO,Private,38.57757515,-90.28273772,10/25/2018
E,ST AMBROSE SCHOOL,5110 WILSON AVE,St. Louis,63110,MO,Private,38.6153,-90.27198,10/25/2018
E,KIPP WISDOM ACADEMY,2647 Ohio Ave,St. Louis,63118,MO,Charter,38.60436,-90.22609,10/25/2018
E,LONG MIDDLE COMMUNITY ED. CTR.,5028 MORGANFORD RD,St. Louis,63116,MO,Public,38.57993,-90.26665,10/25/2018
E,ACAD OF ENVT SCI/MATH MIDDLE,3021 HICKEY ST,St. Louis,63104,MO,Public,38.6228,-90.22754,10/25/2018
E,SHENANDOAH ELEM.,3412 SHENANDOAH AVE,St. Louis,63104,MO,Public,38.60907,-90.23683,10/25/2018
E,TOWER GROVE CHRISTIAN ACADEMY,4257 MAGNOLIA AVE,St. Louis,63110,MO,Private,38.60925,-90.2566,10/25/2018
E,CITY GARDEN MONTESSORI SCHOOL,1618 TOWER GROVE AVE,St. Louis,63110,MO,Charter,38.62007,-90.25516,10/25/2018
E,CROSSROADS COLLEGE PREPARATORY SCHOOL,500 DE BALIVIERE AVE,St. Louis,63112,MO,Private,38.65293,-90.28399,10/25/2018
E,MERAMEC ELEM.,2745 MERAMEC ST,St. Louis,63118,MO,Public,38.57973,-90.23235,10/25/2018
E,ST STEPHEN PROTOMARTYR SCHOOL,3929 WILMINGTON AVE,St. Louis,63116,MO,Private,38.56964,-90.26286,10/25/2018
